date,symbol,weight,sector,position_value
2021-02-01,AAL,0.049999999643050276,Industrials,49946.36587015743
2021-02-01,F,0.049999999479468524,Consumer Discretionary,49946.365706751145
2021-02-01,AVGO,0.04999999933065756,Information Technology,49946.36555809981
2021-02-01,LYV,0.0499999974652135,Communication Services,49946.363694656764
2021-02-01,CCL,0.005572926274003939,Consumer Discretionary,5566.948332718693
2021-02-01,FTI,0.04999998237625446,Industrials,49946.348621883284
2021-02-01,BMY,0.049999997391115075,Health Care,49946.36362063782
2021-02-01,BA,0.012210871222003261,Industrials,12197.772920030859
2021-02-01,GEN,0.049999996868230714,Information Technology,49946.363098314345
2021-02-01,TSLA,0.049999806903241434,Consumer Discretionary,49946.173337095854
2021-02-01,TROW,0.049999989646889786,Financials,49946.355884719575
2021-02-01,EA,0.049999995360241224,Communication Services,49946.36159194244
2021-02-01,AON,0.04999998344995315,Financials,49946.34969443024
2021-02-01,SBAC,0.049999982223956914,Real Estate,49946.3484697491
2021-02-01,WTW,0.04999997276016448,Financials,49946.33901610824
2021-02-01,IDXX,0.049999975293845214,Health Care,49946.34154707116
2021-02-01,PGR,0.04999998642264499,Financials,49946.35266393335
2021-02-01,AJG,0.03477731288796168,Financials,34740.00811767024
2021-02-01,BKNG,0.00010002432050965402,Consumer Discretionary,99.91702687508852
2021-02-01,MTD,0.049999923792642204,Health Care,49946.29010111223
2021-02-01,CVS,0.049999923087378516,Health Care,49946.28939660506
2021-02-01,COO,0.0321413141174852,Health Care,32106.83691840197
2021-02-01,CHTR,0.04999993414138021,Communication Services,49946.30043874939
2021-02-01,CBOE,0.015098065138194445,Financials,15081.86981414396
2021-02-01,ICE,0.00010004040351352947,Financials,99.93309262712032
2021-02-02,AAL,0.04841764526355662,Industrials,49204.88182298416
2021-02-02,F,0.0492834046138626,Consumer Discretionary,50084.71780606559
2021-02-02,AVGO,0.0502150083829328,Information Technology,51031.4687914434
2021-02-02,LYV,0.051198703877262594,Communication Services,52031.1584765742
2021-02-02,CCL,0.00566727723620209,Consumer Discretionary,5759.4231431016115
2021-02-02,FTI,0.04891802306673059,Industrials,49713.39541421722
2021-02-02,BMY,0.04972398080061691,Health Care,50532.45744902555
2021-02-02,BA,0.01231518743261543,Industrials,12515.42364258359
2021-02-02,GEN,0.05011004269971643,Information Technology,50924.79644069161
2021-02-02,TSLA,0.0510771181498727,Consumer Discretionary,51907.59585152262
2021-02-02,TROW,0.04956287007128773,Financials,50368.72717354633
2021-02-02,EA,0.05019172798470896,Communication Services,51007.809870462
2021-02-02,AON,0.04997952482006585,Financials,50792.15643292099
