factor,coefficient,annualized_coefficient,t_stat,p_value
alpha,0.00012012524618929445,0.0302715620397022,1.1560840139923687,0.24764679415685698
Mkt-RF,0.9235796288780775,0.9235796288780775,68.99340304364146,0.0
SMB,-0.0027475478972183087,-0.0027475478972183087,-0.13344352904540863,0.8938426220144096
HML,0.05707298038924312,0.05707298038924312,3.475778931003874,0.0005093719838783429
RMW,-0.03498996443000729,-0.03498996443000729,-1.305420157485784,0.19174981819040604
CMA,0.09507836476021302,0.09507836476021302,3.5828621468969866,0.0003398499785614809
Mom,-0.060142403628772746,-0.060142403628772746,-4.854121094585345,1.2092183249096803e-06
