date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,cash_interest,execution_price_model,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2021-01-29,0.0,0.0,-0.019311475173124593,0.019311475173124593,1000000.0,0.0,0.0,1000000.0,0.0,close,0,0,0.0,980688.5248268754,-0.020019542440221638,0.0,0.0,0.0
2021-02-01,-0.0011467683097311498,0.0,0.016051767614439383,-0.017198535924170533,998853.2316902688,1.0,1146.7683097311565,0.0,0.0,close,0,0,-0.0011467683097311498,996430.3091295438,0.016645247449536438,0.012952513662007876,0.010785349228817215,1.0
2021-02-02,0.01848457479420773,0.01848457479420773,0.013898223484416938,0.004586351309790793,1017316.6089598837,0.0,0.0,0.0,0.0,close,0,0,0.0,1010278.9202524729,0.014140658116980953,0.013984353114811457,0.02264921110322064,1.0
2021-02-03,0.00012324806798313936,0.00012324806798313936,0.0010087690809532646,-0.0008855210129701252,1017441.9912664652,0.0,0.0,0.0,0.0,close,0,0,0.0,1011298.0583903623,0.0007860556528089813,0.0022452574216038925,0.021848802140932065,1.0
2021-02-04,0.017106261118468247,0.017106261118468247,0.010853322230420792,0.006252938888047455,1034846.6196419636,0.0,0.0,0.0,0.0,close,0,0,0.0,1022274.0020890719,0.011365718217136722,0.012640328151397939,0.019689901043059507,1.0
2021-02-05,0.005630093521649782,0.005630093521649782,0.003897495164625342,0.0017325983570244397,1040672.9028911111,0.0,0.0,0.0,0.0,close,0,0,0.0,1026258.3100691362,0.003935940797909154,0.005190507711090982,0.007060875921544487,1.0
2021-02-08,0.006974418390668591,0.006974418390668591,0.007399348360373592,-0.0004249299697050013,1047930.9911237053,0.0,0.0,0.0,0.0,close,0,0,0.0,1033851.9528130661,0.007222183281301309,0.010705630145767461,0.010844238194711633,1.0
2021-02-09,-3.2261522324605885e-05,-3.2261522324605885e-05,-0.0011135249921484514,0.0010812634698238455,1047897.1832746405,0.0,0.0,0.0,0.0,close,0,0,-3.226152232449486e-05,1032700.7328254272,-0.0006661098262742415,-0.000545964989566925,-0.011801924362459847,1.0
2021-02-10,-0.0018274557961921456,-0.0018274557961921456,-0.00034518493235935477,-0.0014822708638327908,1045982.1974932518,0.0,0.0,0.0,0.0,close,0,0,-0.001859658362010741,1032344.2600928195,-0.0004355490332869083,0.0022762352928906676,-0.0031812139996329446,1.0
2021-02-11,0.00019707751447217703,0.00019707751447217703,0.0016624551635393559,-0.0014653776490671788,1046188.3370649159,0.0,0.0,0.0,0.0,close,0,0,-0.001662947344386323,1034060.4861385609,0.0016151329528637515,0.0009996916329082094,-0.0032591516205060147,1.0
2021-02-12,0.005642969262194875,0.005642969262194875,0.0047110331133788375,0.0009319361488160371,1052091.94569344,0.0,0.0,0.0,0.0,close,0,0,0.0,1038931.9793299963,0.004939695259884358,0.0052880199141078135,0.0005717022420522605,1.0
2021-02-16,0.006394557690786229,0.006394557690786229,-0.0005692724183511411,0.00696383010913737,1058819.6083361884,0.0,0.0,0.0,0.0,close,0,0,0.0,1038340.5440096207,-0.0008660460601583875,0.0005881703600266867,0.03801392100989509,1.0
2021-02-17,0.006486325861376985,0.006486325861376985,-0.0003204020092266724,0.006806727870603657,1065687.4573442724,0.0,0.0,0.0,0.0,close,0,0,0.0,1038007.8576130585,0.00022946340159024636,-0.00011374250194130167,0.013612974202362812,1.0
2021-02-18,-0.004482544883990913,-0.004482544883990913,-0.004415835627354592,-6.670925663632143e-05,1060910.4654844205,0.0,0.0,0.0,0.0,close,0,0,-0.004482544883991024,1033424.1855339368,-0.004255878713388284,-0.005061082565732069,-0.00833863088068762,1.0
2021-02-19,0.012064933149408041,0.012064933149408041,-0.0018548966445751658,0.013919829793983207,1073710.2793279975,0.0,0.0,0.0,0.0,close,0,0,0.0,1031507.2904797671,-0.0017659415913644505,0.0068543105050283566,0.031969533877150756,1.0
2021-02-22,0.004024625133422832,0.004024625133422832,-0.0077328394581538396,0.011757464591576672,1078031.5607041954,0.0,0.0,0.0,0.0,close,0,0,0.0,1023530.8102025718,-0.007691670212138235,0.0008695690731914189,0.020603333599600857,1.0
2021-02-23,0.0031662560254870353,0.0031662560254870353,0.0012563181187927874,0.001909937906694248,1081444.8846289401,0.0,0.0,0.0,0.0,close,0,0,0.0,1024816.6905045719,0.0012140136801630508,0.0032017836058743925,0.008371003097744351,1.0
2021-02-24,0.01905748080081615,0.01905748080081615,0.01135161376597904,0.0077058670348371106,1102054.499754897,0.0,0.0,0.0,0.0,close,0,0,0.0,1036450.0137561088,0.011019298894940022,0.01466607386623603,0.01530277018511338,1.0
2021-02-25,-0.03129258957842451,-0.03129258957842451,-0.02447880752512621,-0.006813782053298301,1067568.3606010112,0.0,0.0,0.0,0.0,close,0,0,-0.03129258957842451,1011078.9533599587,-0.024095631451407806,-0.022263965770743983,-0.0369355523944456,1.0
2021-02-26,0.00562111162457013,0.00562111162457013,-0.004750214169902844,0.010371325794472974,1073569.2815228088,0.0,0.0,0.0,0.0,close,0,0,-0.02584737709289653,1006276.1117888177,-0.005152742247307662,-0.006757350192626032,0.018044024577256408,1.0
2021-03-01,0.019223765426439332,0.01933237213935124,0.023790763506800205,-0.004566998080360873,1094207.3255598343,0.12193260434587432,116.59683074936726,0.0,0.0,close,0,0,-0.0071204955805797,1030216.1887869278,0.024240313992632823,0.022166196596596736,0.003553289551489652,1.0
2021-03-02,0.00034730629029899873,0.00034730629029899873,-0.008080851690870694,0.008428157981169693,1094587.3506468923,0.0,0.0,0.0,0.0,close,0,0,-0.006775662283185824,1021891.1645558067,-0.007803299137433939,-0.0046566938319287455,0.02133464744163531,1.0
2021-03-03,-0.002243870190536068,-0.002243870190536068,-0.01306622187199813,0.010822351681462061,1092131.238719838,0.0,0.0,0.0,0.0,close,0,0,-0.009004328767103442,1008538.9078706859,-0.013245652042460643,-0.006153678643292228,0.014638808641417887,1.0
2021-03-04,-0.016265456747956653,-0.016265456747956653,-0.013417213930100202,-0.00284824281785645,1074367.225293348,0.0,0.0,0.0,0.0,close,0,0,-0.02512332599495437,995007.1255869552,-0.012374822273562791,-0.0147807007781181,-0.02910288833088567,1.0
2021-03-05,0.007961645975462117,0.007961645975462117,0.01949596819778221,-0.011534322222320093,1082920.9567887732,0.0,0.0,0.0,0.0,close,0,0,-0.01736170304679019,1014405.7528639651,0.01839681480760791,0.022831728976700945,-0.014856796924705951,1.0
2021-03-08,0.0039850114639985446,0.0039850114639985446,-0.005359231030161227,0.009344242494159771,1087236.4092161807,0.0,0.0,0.0,0.0,close,0,0,-0.013445878168467651,1008969.3180760426,-0.004978733312967498,0.005757846096107448,0.01059384237835507,1.0
2021-03-09,0.010319285104245735,0.010319285104245735,0.01415464230382213,-0.0038353571995763946,1098455.9116985989,0.0,0.0,0.0,0.0,close,0,0,-0.0032653449145192415,1023250.9178689404,0.014277358273924401,0.0038645800716985887,0.022839681132823305,1.0
2021-03-10,0.0030180544593778613,0.0030180544593778613,0.006030313342701321,-0.00301225888332346,1101771.111461331,0.0,0.0,0.0,0.0,close,0,0,-0.00025714544392207994,1029421.4415318967,0.006224513805906495,0.009852947128138048,-0.01369782908305848,1.0
2021-03-11,0.01116034278186162,0.01116034278186162,0.010395487004435822,0.0007648557774257991,1114067.254732392,0.0,0.0,0.0,0.0,close,0,0,0.0,1040122.7787494292,0.010139366325156551,0.00642515361079707,0.01812642396409082,1.0
2021-03-12,0.006315707876899834,0.006315707876899834,0.0010153984958789497,0.0053003093810208846,1121103.3780685016,0.0,0.0,0.0,0.0,close,0,0,0.0,1041178.9178545008,0.0013467367810584552,0.0068264284005340094,0.02007828242373655,1.0
2021-03-15,0.019460108010141752,0.019460108010141752,0.006491921301497117,0.012968186708644636,1142920.1708962494,0.0,0.0,0.0,0.0,close,0,0,0.0,1047938.16944999,0.005963359992812389,0.009515989472404198,0.027694798948906835,1.0
2021-03-16,-0.008037074159343738,-0.008037074159343738,-0.0015696837343783798,-0.006467390424965358,1133734.4367245464,0.0,0.0,0.0,0.0,close,0,0,-0.008037074159343738,1046293.2379507701,-0.0012612855784746024,-0.008843779652247585,-0.027440286482634114,1.0
2021-03-17,-0.0007950109307123254,-0.0007950109307123254,0.00287938213053085,-0.0036743930612431752,1132833.1054548253,0.0,0.0,0.0,0.0,close,0,0,-0.008825695528248523,1049305.9160034207,0.003409738637488946,0.0043189186425191955,0.013497238786534228,1.0
2021-03-18,-0.015384812286916127,-0.015384812286916127,-0.014760539319459198,-0.0006242729674569292,1115404.6807749986,0.0,0.0,0.0,0.0,close,0,0,-0.02407472614616113,1033817.5947721112,-0.014549585620222905,-0.009092308648207028,-0.017954236851018393,1.0
2021-03-19,0.004247573195493404,0.004247573195493404,-0.0006027039747036333,0.004850277170197037,1120142.4437991863,0.0,0.0,0.0,0.0,close,0,0,-0.019929412112134948,1033194.5087986235,-0.0018501871749664334,-0.0013203677976977117,0.011633264968183222,1.0
2021-03-22,-0.005315329262929658,-0.005315329262929658,0.007025118077311765,-0.012340447340241423,1114188.517889011,0.0,0.0,0.0,0.0,close,0,0,-0.02513880998767193,1040452.8222197638,0.00798510730758717,0.000956017394510208,-0.022466182630267742,1.0
2021-03-23,-0.020157272569999996,-0.020157272569999996,-0.007630854183940605,-0.01252641838605939,1091729.5162395579,0.0,0.0,0.0,0.0,close,0,0,-0.04478935271266493,1032513.2784481352,-0.007870914669031226,-0.013557186063395604,-0.04416876429316964,1.0
2021-03-24,-0.007665207852613043,-0.007665207852613043,-0.00546733601831495,-0.002197871834298093,1083361.182578749,0.0,0.0,0.0,0.0,close,0,0,-0.052111240867151354,1026868.1814114873,-0.005083573311034595,-0.0003358343899866238,-0.011691162339556317,1.0
2021-03-25,0.013497561121652346,0.013497561121652346,0.005240265846959469,0.008257295274692877,1097983.9163574313,0.0,0.0,0.0,0.0,close,0,0,-0.03931705440422861,1032249.2436718673,0.005625570354283793,0.012364672432274203,0.024160771476903816,1.0
2021-03-26,0.01698729237873109,0.01698729237873109,0.016631202604519668,0.00035608977421142107,1116635.6901717393,0.0,0.0,0.0,0.0,close,0,0,-0.022997652324132645,1049416.7899817363,0.01611505707543559,0.019743840889837484,0.013036561824951796,1.0
2021-03-29,-0.0017746597950537568,-0.0017746597950537568,-0.0008680126852336212,-0.0009066471098201356,1114654.0417066694,0.0,0.0,0.0,0.0,close,0,0,-0.024731499110226096,1048505.8828959351,-0.0005050800524240007,-0.004650996510962099,-0.009507076008341102,1.0
2021-03-30,0.005249254823255889,0.005249254823255889,-0.0031578329337678124,0.008407087757023701,1120505.1448113597,0.0,0.0,0.0,0.0,close,0,0,-0.019612066227960967,1045194.8764876771,-0.002652989618377344,0.0014653862487134614,0.019092521049507982,1.0
2021-03-31,0.0005125000487478104,0.0005125000487478104,0.0036224990395776757,-0.0031099989908298653,1121079.4037526976,0.0,0.0,0.0,0.0,close,0,0,-0.019109617364110987,1048981.0939239252,0.004053187689533999,-0.0009985824915140062,-0.0007844477956311358,1.0
2021-04-01,0.010353153312459007,0.010403701100631269,0.011825201774944727,-0.00147204846248572,1132686.1106951896,0.05994993513896524,56.66808422517529,0.0,0.0,close,0,0,-0.008954308849964954,1061385.5070176779,0.01079938464481045,0.010764982832027524,0.010969954314717166,1.0
2021-04-05,0.013260889933027542,0.013260889933027542,0.014438226417743616,-0.0011773364847160739,1147706.5365377874,0.0,0.0,0.0,0.0,close,0,0,0.0,1076710.0312845106,0.014353082384737093,0.010410666047272834,0.02970922344912702,1.0
2021-04-06,0.004601452300082576,0.004601452300082576,-0.0009735307519511682,0.005574983052033744,1152987.6534201591,0.0,0.0,0.0,0.0,close,0,0,0.0,1075661.8209581207,-0.0005907587386179136,0.0006166892881690978,0.008215277103479095,1.0
2021-04-07,-0.0038189849788752284,-0.0038189849788752284,0.001475232784985625,-0.005294217763860853,1148584.410890919,0.0,0.0,0.0,0.0,close,0,0,-0.0038189849788752284,1077248.6725419555,0.001157435529650197,-0.0035068161925903207,0.006904562760990765,1.0
2021-04-08,8.856287393665951e-06,8.856287393665951e-06,0.0042206328286402695,-0.0042117765412466035,1148594.5830845577,0.0,0.0,0.0,0.0,close,0,0,-0.0038101625135100736,1081795.3436538952,0.004746782037463815,0.0017251193019750385,-0.005156334432050466,1.0
2021-04-09,0.002598617054519803,0.002598617054519803,0.007719934348738189,-0.005121317294218386,1151579.3405568902,0.0,0.0,0.0,0.0,close,0,0,-0.0012214466122784096,1090146.732685674,0.007270055840139511,0.006374850197360333,0.016850401635915016,1.0
2021-04-12,-0.0036545924808526475,-0.0036545924808526475,-0.00019607884876882142,-0.003458513632083826,1147370.7873577857,0.0,0.0,0.0,0.0,close,0,0,-0.004871575203526102,1089932.9779693398,0.00036463110084139494,0.0017388055381664473,-0.026553651522568326,1.0
2021-04-13,0.0015904901428458462,0.0015904901428458462,0.0032944868090414303,-0.001703996666195584,1149195.6692852676,0.0,0.0,0.0,0.0,close,0,0,-0.00328883325302165,1093523.747787999,0.0029635322415004772,-0.0013409366798047082,0.0025309587609708114,1.0
2021-04-14,-0.0033975018709830884,-0.0033975018709830884,-0.004087726727828533,0.000690224856845445,1145291.2748487452,0.0,0.0,0.0,0.0,close,0,0,-0.0066751613068744,1089053.721536651,-0.003415066957899615,0.0016969237812925384,0.001195066804922088,1.0
2021-04-15,0.007682817389475627,0.007682817389475627,0.01109419052516647,-0.0034113731356908428,1154090.3385711678,0.0,0.0,0.0,0.0,close,0,0,0.0,1101135.89101552,0.010742495071998537,0.007890273893038622,-0.006022812830926009,1.0
2021-04-16,0.004732463924167263,0.004732463924167263,0.0036088195555097347,0.0011236443686575281,1159552.0294636858,0.0,0.0,0.0,0.0,close,0,0,0.0,1105109.6917522904,0.00334226431866691,0.004406928138778704,-0.0033352698630368105,1.0
2021-04-19,-0.006016350078733357,-0.006016350078733357,-0.005306560094486046,-0.000709789984247311,1152575.7585199266,0.0,0.0,0.0,0.0,close,0,0,-0.006016350078733357,1099245.360762008,-0.004912789509400772,-0.004591676696171311,-0.004586697148857717,1.0
2021-04-20,-0.011115177726472303,-0.011115177726472303,-0.006802319771775922,-0.004312857954696381,1139764.674120754,0.0,0.0,0.0,0.0,close,0,0,-0.01706465500481591,1091767.9423104639,-0.0073217961721676605,-0.007278368053062446,-0.02516036208736395,1.0
2021-04-21,0.016383503172345604,0.016383503172345604,0.009306055472153574,0.00707744770019203,1158438.0122749389,0.0,0.0,0.0,0.0,close,0,0,-0.0009607306618767408,1101927.995344324,0.009462152657764733,0.01271356509470768,0.035978268630583725,1.0
2021-04-22,-0.008832214101453406,-0.008832214101453406,-0.009210657476561801,0.0003784433751083949,1148206.4397272645,0.0,0.0,0.0,0.0,close,0,0,-0.00978445938443051,1091778.514015373,-0.00913307416317255,-0.0064467147185198566,-0.011682270938565324,1.0
2021-04-23,0.009887471484183896,0.009887471484183896,0.010928696540176919,-0.0010412250559930225,1159559.2981580242,0.0,0.0,0.0,0.0,close,0,0,0.0,1103710.2300841324,0.010842548568364307,0.01083368436794528,0.011859215107787384,1.0
2021-04-26,0.0039674116650809665,0.0039674116650809665,0.001782270924804541,0.0021851407402764256,1164159.7472438894,0.0,0.0,0.0,0.0,close,0,0,0.0,1105677.3407366208,0.00208762178120403,0.001351629619636758,0.005258426648264315,1.0
2021-04-27,-0.0021785328665672177,-0.0021785328665672177,-0.00021489588801437698,-0.0019636369785528407,1161623.586972584,0.0,0.0,0.0,0.0,close,0,0,-0.0021785328665672177,1105439.7352226258,-0.00021547859250692358,0.001434588487883112,0.004810877521689673,1.0
2021-04-28,0.0011204381196865398,0.0011204381196865398,-0.0008455399168898481,0.001965978036576388,1162925.1143201552,0.0,0.0,0.0,0.0,close,0,0,-0.001060535658149342,1104505.0418007788,-0.0002876014881088018,-0.0004986986668877817,-0.0020321227502158104,1.0
2021-04-29,0.0016037774189794352,0.0016037774189794352,0.006762806734045723,-0.005159029315066288,1164790.187358466,0.0,0.0,0.0,0.0,close,0,0,0.0,1111974.5959352567,0.006372968861294126,0.007114655360102038,-0.007848753754126888,1.0
2021-04-30,0.0011406939786420267,0.0011406939786420267,-0.007194706699326425,0.008335400677968452,1166118.856511567,0.0,0.0,0.0,0.0,close,0,0,0.0,1103974.2648604005,-0.006570324414580941,-0.007165892912873322,0.010213439269714438,1.0
2021-05-03,0.004073547105911235,0.004096744926899598,0.002748090747253684,0.0013254563586575507,1170869.0966046583,0.031079962182242574,27.051416484306316,-2.3283064365386963e-10,0.0,close,0,0,0.0,1107008.0863228694,0.002156386234926977,0.00630235584410269,0.0057456092046211295,1.0
2021-05-04,-0.013423871155078704,-0.013423871155078704,-0.006678337608227225,-0.006745533546851479,1155151.500712374,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.013423871155078704,1099615.1125873679,-0.006169198666729936,-0.00202616705961891,-0.006304452601408047,1.0
2021-05-05,0.0003979274111660658,0.0003979274111660658,0.0007034637617677753,-0.00030553635060170947,1155611.167158557,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.013031285470209264,1100388.6519709653,0.00031281574421537783,0.00221280096077719,0.0017893549192624502,1.0
2021-05-06,-0.005906540205923516,-0.005906540205923516,0.008165456466051824,-0.01407199667197534,1148785.5033373209,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.018860855864568093,1109373.8276043716,0.007985742137627705,0.004928946839116014,0.007764447643912506,1.0
2021-05-07,0.015147873790833044,0.015147873790833044,0.007373341616968343,0.007774532173864701,1166187.1611546131,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.003998683937958547,1117553.6198162225,0.007277979861584072,0.010497549042344399,0.008316288075670017,1.0
2021-05-10,-0.001327996744698412,-0.001327996744698412,-0.010435647322188157,0.009107650577489745,1164638.4684008907,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.005321370443404416,1105891.2243761856,-0.009902405634048317,-0.003694653981641163,-0.007434242594110066,1.0
2021-05-11,-0.008522071473805126,-0.008522071473805126,-0.00867391280271812,0.00015184132891299384,1154713.3361320354,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.013798092817952301,1096298.8203266552,-0.008924823662474601,-0.011111285412635025,-0.009926663741551989,1.0
2021-05-12,-0.023518930428504614,-0.023518930428504614,-0.021449400664502738,-0.002069529764001876,1127555.7135146796,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.03699250686142541,1072783.8676814472,-0.02124535253229598,-0.02257309114325298,-0.020949892333455077,1.0
2021-05-13,0.014715924937640734,0.014715924937640734,0.012173141406923493,0.002542783530717241,1144148.7387577696,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.022820960878012553,1085843.0174017996,0.01201276037433252,0.014885727368243706,0.01367218569449866,1.0
2021-05-14,0.026399584842966117,0.026399584842966117,0.014917956876899785,0.011481627966066332,1174353.790459578,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,0.0,1102041.5767104826,0.015355288299999659,0.01544083207691323,0.014171778564429978,1.0
2021-05-17,0.0017666969117813291,0.0017666969117813291,-0.0025300521932207776,0.004296749105002107,1176428.5176745215,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,0.0,1099253.3540023058,-0.00254468274019104,-0.0009316587669926696,-0.0035658050614805776,1.0
2021-05-18,-0.00033954423240489806,-0.00033954423240489806,-0.008517292959364653,0.008177748726959755,1176029.0681565085,0.0,0.0,-2.3283064365386963e-10,-0.0,close,0,0,-0.00033954423240489806,1089890.691149704,-0.008615787810334452,-0.008446023109496908,-0.00817364328104807,1.0
