metric,estimate,lower_95,upper_95,one_sided_lower_95,bootstrap_samples,block_size,seed
sharpe_ratio,0.8570217862163252,0.11286062167884049,1.7493329451854118,0.20850745009754734,2000,21,42
alpha_annualized,0.022248498157393406,-0.05378418107896634,0.10140665824237295,-0.04129995076294574,2000,21,42
max_drawdown,-0.24687728559311128,-0.4117260696037735,-0.14418232433511438,-0.3803552943545358,2000,21,42
