signal_date,execution_date,execution_price_model,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2021-01-29,2021-02-01,close,optimal_target_cardinality,,1.0,25,100.00000000000001,500.00000000000006,546.7683097311564,1146.7683097311565,0.0011467683097311566,0.0005495092556996835,0.04879969072932247,20.491933146599347
2021-02-26,2021-03-01,close,optimal_target_cardinality,,0.12193260434587432,25,13.343376585507631,66.71688292753818,36.53657123632144,116.59683074936726,0.00010654690842786106,0.0001515008173507197,0.046711409448372924,21.408045952996446
2021-03-31,2021-04-01,close,optimal_target_cardinality,,0.05994993513896524,25,6.790785611695717,33.95392805847858,15.923370555000997,56.66808422517529,5.0027318899563326e-05,0.0001095302402808419,0.04513463938761935,22.155931975260334
2021-04-30,2021-05-03,close,optimal_target_cardinality,,0.031079962182242574,25,3.6391407999830623,18.19570399991531,5.216571684407944,27.051416484306316,2.3103173180665252e-05,5.518860258118252e-05,0.04458903120058211,22.427040307324397
2021-05-28,2021-06-01,close,optimal_target_cardinality,,0.0304932149442102,25,3.6599776631030236,18.299888315515112,9.356545423348429,31.316411401966565,2.609136317383589e-05,0.0001241282316287243,0.04437905733368129,22.53315099690174
2021-06-30,2021-07-01,close,optimal_target_cardinality,,0.016219982314394137,25,1.9588207001722475,9.79410350086124,1.8356972659783573,13.588621467011844,1.1252035464631716e-05,3.152519339153316e-05,0.044339087180556576,22.553463852961695
2021-07-30,2021-08-02,close,optimal_target_cardinality,,0.050923970138959614,25,6.030620323612325,30.15310161806163,14.833439803273246,51.017161744947195,4.308008599218149e-05,0.00018788887090334788,0.04338711535203071,23.048317268532017
2021-08-31,2021-09-01,close,optimal_target_cardinality,,0.03784108126733554,25,4.607426181562123,23.03713090781062,9.995962049277408,37.64051913865015,3.091439531620316e-05,0.0001462631104742251,0.04275745087548279,23.38773662892523
2021-09-30,2021-10-01,close,optimal_target_cardinality,,0.022975006611899534,25,2.761827168518972,13.809135842594861,2.120001540248394,18.690964551362228,1.5548584612577543e-05,1.9499814205124472e-05,0.04275621226849868,23.38841414950982
2021-10-29,2021-11-01,close,optimal_target_cardinality,,0.034851175500975204,25,4.214062903508625,21.070314517543125,6.009394260213112,31.293771681264865,2.5880599172906423e-05,0.00014882894947828868,0.04241724367312989,23.575317804854713
2021-11-30,2021-12-01,close,optimal_target_cardinality,,0.04229229193457103,25,4.760869194014303,23.804345970071513,6.200951009671864,34.766166173757675,3.088387412775346e-05,2.859679407225769e-05,0.04279792679544501,23.365617796851556
2021-12-31,2022-01-03,close,optimal_target_cardinality,,0.03031071180267539,25,3.7862905561460383,18.93145278073019,3.9777816219440374,26.695524958820265,2.1370794223239727e-05,7.58708339107991e-05,0.04291169088330273,23.30367271519258
2022-01-31,2022-02-01,close,optimal_target_cardinality,,0.023018072507916498,25,2.734551956568461,13.672759782842304,3.8852020872333055,20.292513826644072,1.7081209720942355e-05,0.0001097931241283067,0.042904034391887565,23.307831400328247
2022-02-28,2022-03-01,close,optimal_target_cardinality,,0.04596636431058224,25,5.313110839544341,26.565554197721703,10.41892193937572,42.29758697664176,3.659374613373578e-05,8.142150559111268e-05,0.04334266772786817,23.071953168148596
2022-03-31,2022-04-01,close,optimal_target_cardinality,,0.026458231589981226,25,3.3013056076092617,16.50652803804631,4.601527604168959,24.409361249824528,1.956282179458892e-05,3.0502273643273006e-05,0.04333870383918821,23.074063398632813
2022-04-29,2022-05-02,close,optimal_target_cardinality,,0.027935472681353435,25,3.1710607704206972,15.855303852103484,3.170188804411048,22.19655342693523,1.9554062718138564e-05,1.8408620380808307e-05,0.04332531132686516,23.081195942380223
2022-05-31,2022-06-01,close,optimal_target_cardinality,,0.06862726293777095,25,7.632847356285573,38.164236781427874,12.80023662170114,58.597320759414586,5.268510624536056e-05,6.25985997795321e-05,0.04244503443018985,23.559881937302205
2022-06-30,2022-07-01,close,optimal_target_cardinality,,0.05513980236804253,25,5.539556917943111,27.69778458971556,12.99006003335766,46.22740154101633,4.601396506466877e-05,3.5302858775194215e-05,0.04284401170915733,23.3404847050367
2022-07-29,2022-08-01,close,optimal_target_cardinality,,0.0206350334909119,25,2.1379809724897743,10.68990486244887,3.7606487199047858,16.58853455484343,1.601066475842926e-05,5.4569375562592126e-05,0.04295652093179035,23.279352664241046
