sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.3393640231083617,1.1649159383723255,1.1744480847360363
Health Care,0.5663335332245927,0.2627451094878848,0.30358842373670786
Utilities,0.12310683447915557,-0.1356185032052665,0.2587253376844221
Communication Services,0.7038886009928343,0.44811192514215276,0.25577667585068153
Energy,0.32286343370373083,0.12604698436769396,0.19681644933603687
Industrials,0.4312057523564553,0.24654391917962426,0.18466183317683105
Financials,0.5152198554393331,0.4737716056788233,0.04144824976050981
Transaction Costs,-0.010815991161483431,0.0,-0.010815991161483431
Real Estate,2.434909239384236e-08,0.04105647034116375,-0.04105644599207135
Materials,0.19682723614205727,0.2750159790295224,-0.07818874288746513
Consumer Staples,0.021784011390808863,0.15389482238421376,-0.13211081099340488
Consumer Discretionary,0.481788881590391,0.9019476554988436,-0.4201587739084525
