factor_name,horizon_days,rank_ic
accruals,1,-0.0018739551746591594
beta_to_spy,1,-0.021346680702644897
book_to_market,1,0.0006375092580113086
earnings_yield,1,0.011797203510558086
free_cash_flow_yield,1,0.006468984162641741
max_drawdown_252d,1,0.016493534348606953
momentum_12_1,1,0.007215092966619932
momentum_3m,1,0.016964538916802982
momentum_6m,1,0.013175303794292645
realized_vol_252d,1,-0.02276127302040874
realized_vol_60d,1,-0.01358357693874985
risk_disclosure_score,1,
roe,1,0.000969505408701178
sales_yield,1,0.014805423170228555
accruals,5,-0.00574456522355988
beta_to_spy,5,-0.02796012759683527
book_to_market,5,-0.0027035848538762876
earnings_yield,5,0.012497268990784462
free_cash_flow_yield,5,0.00567977987111238
max_drawdown_252d,5,0.019960963259098873
momentum_12_1,5,-0.0047099881362678555
momentum_3m,5,0.02776651496203994
momentum_6m,5,0.01392971172377523
realized_vol_252d,5,-0.021444924927987156
realized_vol_60d,5,-0.01584152266147248
risk_disclosure_score,5,
roe,5,-0.006741866099257705
sales_yield,5,0.01826434702196429
accruals,21,-0.001967757154133342
beta_to_spy,21,-0.020690335466580008
book_to_market,21,0.0035678929543395484
earnings_yield,21,0.022146795641934808
free_cash_flow_yield,21,0.009470086908318652
max_drawdown_252d,21,0.00797863144318978
momentum_12_1,21,-0.0069009735654040165
momentum_3m,21,-6.963219633990443e-05
momentum_6m,21,0.0022570964468037686
realized_vol_252d,21,-0.007338992488166682
realized_vol_60d,21,-0.0039522691493141145
risk_disclosure_score,21,
roe,21,0.004932643321217951
sales_yield,21,0.01939201128387052
accruals,63,0.0022803409147096327
beta_to_spy,63,-0.03306540357000946
book_to_market,63,0.0027661438942898184
earnings_yield,63,0.027493499703852394
free_cash_flow_yield,63,0.021323331016977
max_drawdown_252d,63,0.008239523653911781
momentum_12_1,63,-0.004240943736883479
momentum_3m,63,0.0018427385120731617
momentum_6m,63,0.0071380429133186644
realized_vol_252d,63,-0.01029686305701136
realized_vol_60d,63,-0.011952147164516515
risk_disclosure_score,63,
roe,63,0.004695339276587525
sales_yield,63,0.030465798594247067
