date,hhi,effective_holdings,largest_weight,top_10_weight
2016-02-01,0.04999991374004149,20.00003450404293,0.05000000017750707,0.4999999993895552
2016-02-02,0.05004737099709426,19.98106953626115,0.05155812257524232,0.5084461412601639
2016-02-03,0.050072137323087566,19.971186641136526,0.05186496120642936,0.5119947950666757
2016-02-04,0.05007406927071472,19.97041611684711,0.052351410616078294,0.5154896398480726
2016-02-05,0.05013870316997894,19.944672214792348,0.05288267043254244,0.5210282417951877
2016-02-08,0.050194270957386065,19.922592378101875,0.054605184410782714,0.5244735936691625
2016-02-09,0.05021434854575179,19.914626575088796,0.05474071435589869,0.5250863933160075
2016-02-10,0.05017205201808692,19.931415195844533,0.05356061541314066,0.5205321293880774
2016-02-11,0.050142367490320965,19.943214691508754,0.05358607012805016,0.518721699009782
2016-02-12,0.05013312520675838,19.946891319378416,0.053773163873695067,0.5183755389496696
2016-02-16,0.05014746976221448,19.941185562137534,0.0537196029297453,0.5192561742452502
2016-02-17,0.050171753836802065,19.93153365243689,0.05738142634784981,0.520463766371505
2016-02-18,0.0502156330565448,19.9141171609638,0.05855205353360989,0.5221006162898674
2016-02-19,0.050213860562220436,19.9148201075058,0.059597576325285735,0.5223104895011708
2016-02-22,0.05018879932045807,19.924764360568748,0.059333089301903806,0.5207103104161599
2016-02-23,0.05018479578477846,19.926353875954394,0.058690510435327845,0.5204920272059098
2016-02-24,0.050155994773641834,19.937796160022007,0.05841973153279858,0.5196754802413427
2016-02-25,0.05015781987303401,19.937070680729942,0.05798072603841321,0.5204292841686776
2016-02-26,0.050175628366581446,19.929994552216343,0.05774726005277139,0.521106624642201
2016-02-29,0.050179690550698944,19.92838116428104,0.058643230927717706,0.5216352785060907
2016-03-01,0.04837288661862148,20.672737764941303,0.05000000005306241,0.49985902461187653
2016-03-02,0.04837686892028762,20.67103602028766,0.0506573190043554,0.5005831923245042
2016-03-03,0.0483751587279437,20.67176679716721,0.05115865970152071,0.5008060253525762
2016-03-04,0.048463182839994255,20.634220482414328,0.051433764971940125,0.5046043642929954
2016-03-07,0.048487539778946404,20.623855212266438,0.05225278461328214,0.5077594271807753
2016-03-08,0.04848582693525817,20.624583784768138,0.051476097648982734,0.5067251010755012
