factor,accruals,beta_to_spy,book_to_market,earnings_yield,free_cash_flow_yield,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.02823650542748279,-0.15166622454179488,-0.13554342637571723,0.49195529659590614,-0.016374438435955804,0.04623308770784929,0.023551073329098216,0.03229614058997889,-0.010632599661654243,-0.01031603212075033,-0.02960962029711083,-0.030672060486620127
beta_to_spy,0.02823650542748279,1.0,-0.10964964770601911,0.0378563553276163,0.03698403858044429,-0.4539167879706013,0.012907683259433358,-0.022897576525228,-0.013047781964894596,0.6910960352167208,0.575935138829363,0.02577558343274241,-0.021101147550754717
book_to_market,-0.15166622454179488,-0.10964964770601911,1.0,0.2829088258415155,0.2119312513293483,0.16041763997284234,-0.1617621719340285,-0.07433839166860999,-0.10937848604064782,-0.12435766586674618,-0.11101901445203301,-0.16977043538790293,0.33589101610727873
earnings_yield,-0.13554342637571723,0.0378563553276163,0.2829088258415155,1.0,0.382202235602757,-0.03062899856983018,0.006548618175523151,-0.030817972626568192,-0.02090797133895502,0.05712267513899505,0.052976414420470255,0.3885287169837546,0.3168557359969482
free_cash_flow_yield,0.49195529659590614,0.03698403858044429,0.2119312513293483,0.382202235602757,1.0,0.001871852117449445,-0.0022813332521886965,-0.009226296502117126,-0.0068426677624357675,0.007397108151020398,0.008742520679474392,0.11303643107726435,0.3115370125518441
max_drawdown_252d,-0.016374438435955804,-0.4539167879706013,0.16041763997284234,-0.03062899856983018,0.001871852117449445,1.0,-0.5281073416743692,-0.1709404005344965,-0.33404199673405816,-0.6866425837294018,-0.6253131139056476,-0.059243143087272424,0.08886839755272477
momentum_12_1,0.04623308770784929,0.012907683259433358,-0.1617621719340285,0.006548618175523151,-0.0022813332521886965,-0.5281073416743692,1.0,0.29379016350153936,0.5470011681599225,0.13223500924267056,0.15582956907755124,0.0697573121754911,-0.06491032389166933
momentum_3m,0.023551073329098216,-0.022897576525228,-0.07433839166860999,-0.030817972626568192,-0.009226296502117126,-0.1709404005344965,0.29379016350153936,1.0,0.6689462726726526,-0.00034594219153193014,0.08694550618099296,0.015395025900455243,-0.029303543239091522
momentum_6m,0.03229614058997889,-0.013047781964894596,-0.10937848604064782,-0.02090797133895502,-0.0068426677624357675,-0.33404199673405816,0.5470011681599225,0.6689462726726526,1.0,0.037463265165333444,0.1330543350565103,0.04002598258892574,-0.04276634885832261
realized_vol_252d,-0.010632599661654243,0.6910960352167208,-0.12435766586674618,0.05712267513899505,0.007397108151020398,-0.6866425837294018,0.13223500924267056,-0.00034594219153193014,0.037463265165333444,1.0,0.8223365381308154,0.04868500622046838,-0.08801223833251019
realized_vol_60d,-0.01031603212075033,0.575935138829363,-0.11101901445203301,0.052976414420470255,0.008742520679474392,-0.6253131139056476,0.15582956907755124,0.08694550618099296,0.1330543350565103,0.8223365381308154,1.0,0.04299252367541649,-0.08758062083747498
roe,-0.02960962029711083,0.02577558343274241,-0.16977043538790293,0.3885287169837546,0.11303643107726435,-0.059243143087272424,0.0697573121754911,0.015395025900455243,0.04002598258892574,0.04868500622046838,0.04299252367541649,1.0,0.007020334824145599
sales_yield,-0.030672060486620127,-0.021101147550754717,0.33589101610727873,0.3168557359969482,0.3115370125518441,0.08886839755272477,-0.06491032389166933,-0.029303543239091522,-0.04276634885832261,-0.08801223833251019,-0.08758062083747498,0.007020334824145599,1.0
