fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07557328041663249,0.23695858688891155,0.031087037495425792
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.07461224058133759,0.23538565824568264,0.043155656887975576
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.07691674828053847,0.23946555248080226,-0.044969896133234134
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.0747030454631497,0.23572765492655723,0.01165713073265247
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07753867398165046,0.24061600167765854,0.06540844719684379
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.07507860940551066,0.23659772324296585,0.05282793218515903
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.0751331088382448,0.23605375614479457,-0.04241108301456323
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.07659131264135802,0.23945892378903733,-0.040888991365505487
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.07616867875437527,0.23808260826498487,-0.025499123283781167
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07667827626296553,0.23813509841579167,0.013316794895694968
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.07665766033073193,0.23890734049787446,0.03372012900091945
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.07898695498488863,0.24290736667441337,-0.062296320388445965
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.0789282058489627,0.24327521714872605,-0.03844495642142373
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.0769080151710413,0.23853008023795788,0.018330357795705274
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07658808243873863,0.23792314378170187,-0.008573045761962788
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.077986370316697,0.2401449693354905,-0.019085516036673647
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07728653071314384,0.239112091760668,-0.04185122817373431
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.07780742143185282,0.24107230064834925,0.12148311450820007
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.07843754194162415,0.241442950835351,-0.015897115110280677
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07674070557672835,0.23906467577649626,0.03693373026556228
