factor_name,quantile,forward_return
accruals,1,0.008288056326942411
accruals,2,0.008177003187666433
accruals,3,0.004992313852938096
accruals,4,0.003116112851426909
accruals,5,0.010544869813952838
beta_to_spy,1,0.018128511413250004
beta_to_spy,2,0.007017848542003203
beta_to_spy,3,0.0055145319774888655
beta_to_spy,4,-2.6865138377696096e-05
beta_to_spy,5,0.003951760801715078
book_to_market,1,0.00418606237920814
book_to_market,2,0.005517356601702984
book_to_market,3,0.007633051890465717
book_to_market,4,0.006814146467099238
book_to_market,5,0.010451428739823371
earnings_yield,1,0.0066248891751719075
earnings_yield,2,0.0033154829600857156
earnings_yield,3,0.007563661658119114
earnings_yield,4,0.00574819944197248
earnings_yield,5,0.011439938560357545
free_cash_flow_yield,1,0.008188056953022833
free_cash_flow_yield,2,0.005378604877971375
free_cash_flow_yield,3,0.0041651421275149475
free_cash_flow_yield,4,0.00740262507572475
free_cash_flow_yield,5,0.009916438006927906
max_drawdown_252d,1,0.001526349547357918
max_drawdown_252d,2,0.00011781066861690578
max_drawdown_252d,3,0.004299854909940886
max_drawdown_252d,4,0.011083753326362142
max_drawdown_252d,5,0.017542814414157032
momentum_12_1,1,0.010379273265049477
momentum_12_1,2,0.007453327144694446
momentum_12_1,3,0.004234420172438814
momentum_12_1,4,0.00336115219405392
momentum_12_1,5,0.009138999136019238
momentum_3m,1,0.005205262123755183
momentum_3m,2,0.0030464095845158133
momentum_3m,3,0.006245842889680833
momentum_3m,4,0.009515728220716254
momentum_3m,5,0.010597801585400928
momentum_6m,1,0.007074194465905906
momentum_6m,2,0.006542768691896144
momentum_6m,3,0.00302904970505098
momentum_6m,4,0.005786679000445541
momentum_6m,5,0.012151268176433713
realized_vol_252d,1,0.01652631555846645
realized_vol_252d,2,0.010150690991578986
realized_vol_252d,3,0.004764771387275605
realized_vol_252d,4,-0.00041734857695992163
realized_vol_252d,5,0.0035881517062765714
realized_vol_60d,1,0.01952557745691182
realized_vol_60d,2,0.008007469712309324
realized_vol_60d,3,0.00194818346906071
realized_vol_60d,4,-0.00018631982136511346
realized_vol_60d,5,0.00527909445871378
roe,1,0.010516676254688502
roe,2,0.010059421701621538
roe,3,0.0030617254720801297
roe,4,0.003450202667774415
roe,5,0.007591001502402762
sales_yield,1,0.0009681680795652161
sales_yield,2,0.003638146443391467
sales_yield,3,0.008312362230553687
sales_yield,4,0.008541290923685736
sales_yield,5,0.013662962536792648
