sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.768283330207926,1.1320165442688543,1.6362667859390716
Health Care,0.6784389138702673,0.25790769758695264,0.4205312162833147
Communication Services,0.8349780572381172,0.41875859076172506,0.41621946647639224
Industrials,0.5780724922724195,0.2190271019158329,0.3590453903565866
Utilities,8.844222672327935e-08,-0.2631312966929098,0.26313138513513656
Energy,0.1587551215830592,0.12098384374580992,0.03777127783724928
Financials,0.722466506421518,0.7105854179775528,0.011881088443965186
Transaction Costs,-0.013736002585976726,0.0,-0.013736002585976726
Real Estate,0.0038863046495896587,0.04206797472633798,-0.03818167007674832
Materials,0.21754359326158726,0.2723018767340142,-0.054758283472426915
Consumer Staples,0.009092771104989673,0.15289345090401085,-0.14380067979902114
Consumer Discretionary,0.5890618937416925,0.8057742639662396,-0.21671237022454704
