month,portfolio_return,benchmark_return
2016-01,0.0,-0.05073532204695208
2016-02,0.04376692167939944,-0.004128360309003876
2016-03,0.056545253170564136,0.06599111444005867
2016-04,-0.009148454383034244,0.0026993982833325436
2016-05,0.008247595965050536,0.015324602525288666
2016-06,0.003712689507961331,0.0009109212401239297
2016-07,0.027779140942817193,0.035609800753315435
2016-08,0.020018456664955275,-0.0012192428990192017
2016-09,-0.004882810691721584,-0.00123445113931675
2016-10,-0.030172040668028588,-0.019425678909034683
2016-11,0.025321291631930753,0.03417452182929526
2016-12,0.0068843991084241996,0.01820076244186586
2017-01,0.029703969593692925,0.01788435819838252
2017-02,0.031567301665418324,0.037198160066815866
2017-03,0.017350722193772983,-0.0003891971352694146
2017-04,0.00998966342521812,0.009091208748855273
2017-05,0.03174108914450535,0.011576251246327995
2017-06,0.012302952630466768,0.004813775207812565
2017-07,0.018407044827164043,0.019348826001101882
2017-08,-0.002118487674369618,0.000546433019853465
2017-09,0.04781081997484726,0.019302978562167672
2017-10,0.030171754417254615,0.02218813506615147
2017-11,0.036157025149556654,0.028082627806563787
2017-12,0.0035870402455708827,0.009831630594270946
2018-01,0.06880903318930276,0.05617870412552772
2018-02,-0.007009681606316098,-0.03894737187936814
2018-03,-0.008726906567405601,-0.02688449860055686
2018-04,0.016367266578447337,0.0027187749953683227
2018-05,0.03543125783643819,0.02160834185458338
2018-06,-0.014277578369538912,0.00484243626760783
2018-07,0.05625649646826858,0.03602155617289937
2018-08,0.03758005280714993,0.030263211276748248
2018-09,-0.014684595776644604,0.0042942874264615405
2018-10,-0.08901987078331897,-0.0694033560936963
2018-11,0.024778206596892005,0.01785935665478
2018-12,-0.08370901485643034,-0.09177689467997241
2019-01,0.0934902605043364,0.0786844016658268
2019-02,0.02665131286754141,0.029728889343926923
2019-03,0.02454478139290006,0.01792425624958849
2019-04,0.03540516002550875,0.03931349831373776
2019-05,-0.052744379392195895,-0.06577773136683507
2019-06,0.08139563001420203,0.06893016399824159
2019-07,0.04917879211774134,0.013128152166958396
2019-08,0.017072149504266942,-0.018091627240524266
2019-09,0.006674708032378351,0.017181177931020475
2019-10,0.03620763513723957,0.020431770513684278
2019-11,0.006408682335010463,0.034047037714499906
2019-12,0.017649132194213157,0.028589818905729647
2020-01,0.0018581976271954126,-0.0016280928190488542
2020-02,-0.0768997479617275,-0.08411048363840323
2020-03,-0.12895483362933968,-0.12511928240892844
2020-04,0.13856464777014987,0.12684403816527867
2020-05,0.07818236198080863,0.045281819665558665
2020-06,0.022885399139977336,0.018388396513924432
2020-07,0.07097598526552984,0.05510132148044411
2020-08,0.06563821653466917,0.07006466690171753
2020-09,-0.03999903752049783,-0.03922797017842261
2020-10,-0.02961873976013296,-0.027665786221379718
2020-11,0.13866692099761901,0.10754563544385931
2020-12,0.023742379516628498,0.03712145909357023
2021-01,-0.02392535090506054,-0.01113666075544506
2021-02,0.06628431483010111,0.026091451377448394
2021-03,0.04322053517597735,0.042438632533165155
2021-04,0.06567695690577402,0.052425321347558285
2021-05,0.0073027957753104555,0.00548648867060697
2021-06,0.024942681147775092,0.02221400956583497
2021-07,0.022615297210455187,0.02274805482838871
2021-08,0.02827482661471481,0.028990416255438856
2021-09,-0.044340689804202804,-0.04756916880190076
2021-10,0.08337024909909463,0.06914383640060695
2021-11,0.014923920762021314,-0.008333706184746159
2021-12,0.05268856292873059,0.04361291346206464
2022-01,-0.07181075975914297,-0.0525851650273933
2022-02,-0.03822721466488932,-0.031360491945908286
2022-03,0.037576964558508674,0.035773288371546474
2022-04,-0.1011360151458015,-0.08795671180434295
2022-05,0.005325093527201563,5.317770464441374e-05
2022-06,-0.09556118390114732,-0.08391999993382704
2022-07,0.10489613505357487,0.09111639173021024
2022-08,-0.04076291753688499,-0.04244012827299792
2022-09,-0.09064997182481704,-0.09339567201327492
2022-10,0.08393598680709524,0.0798634138370089
2022-11,0.0916818012087437,0.05375289335249267
2022-12,-0.05210312947100115,-0.05897147407473069
2023-01,0.07436309165642419,0.061752857834678654
2023-02,-0.023241038425263594,-0.026112493931818803
2023-03,0.04752333077859139,0.035051612577109204
2023-04,0.009980229065469581,0.014642341662481462
2023-05,0.02222797002087029,0.002482347368193194
2023-06,0.07002961048593637,0.06472746490423376
2023-07,0.04252444900175334,0.031138932355011084
2023-08,0.007398181806030912,-0.017716390070854127
2023-09,-0.04417949080733585,-0.04871936746562466
2023-10,-0.016596319342284116,-0.02197968873798295
2023-11,0.10592924801437031,0.08917926878196969
2023-12,0.056904251968310504,0.04422923115635968
2024-01,0.030364519747188234,0.01589570759899117
2024-02,0.06716143960256393,0.0517206406237225
2024-03,0.0460482660651802,0.031018779915342964
2024-04,-0.0487235636931771,-0.04161507173789902
2024-05,0.04018236912342621,0.0480211901511991
2024-06,0.03731649035615492,0.03466980128308306
2024-07,0.007914618294757148,0.011321316887868083
2024-08,0.018193561790194046,0.02283470693663059
2024-09,0.019316060376867394,0.02019688409060083
2024-10,-0.005173986973598721,-0.00989674330315149
2024-11,0.06735613644699256,0.057301295482098835
2024-12,-0.03035582848467555,-0.024990137048483407
2025-01,0.04189179267948617,0.027016304240443434
2025-02,-0.01622450051048019,-0.01424209269982446
2025-03,-0.038974424351149395,-0.05754469768137538
2025-04,0.021467000347861864,-0.007624943346289492
2025-05,0.06265637916289601,0.061523826140782445
2025-06,0.05183245637753675,0.04960683946771627
2025-07,0.012819423933347895,0.021666562530641142
2025-08,0.025083698084615413,0.019066444295036122
2025-09,0.05425788885684546,0.03532368721870216
2025-10,0.013762165637861257,0.022686871904923578
2025-11,0.028247297738695387,0.0012996181666717899
2025-12,-0.01552531838648441,-0.0005241344225136446
2026-01,0.06845916804541918,0.013662958900920064
2026-02,0.011731507217922266,-0.008668344740704104
2026-03,-0.0628512815430704,-0.050932690968577
2026-04,0.10618815601086906,0.10423338582985786
2026-05,0.03094031683510101,0.05147035515724285
2026-06,-0.03311642274272952,-0.02450643563115973
