signal_date,execution_date,execution_price_model,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2021-01-29,2021-02-01,close,optimal_target_cardinality,,1.0,35,100.0,499.9999999999999,455.15874278507454,1055.1587427850745,0.0010551587427850746,0.0004972925597509167,0.048902280797540575,20.4489439693024
2021-02-26,2021-03-01,close,optimal_target_cardinality,,0.1756527611721933,35,18.594257401677176,92.97128700838586,98.84665847384389,210.41220288390693,0.00019876827357218527,0.00027634180418402296,0.04653928628119693,21.487222514712816
2021-03-31,2021-04-01,close,optimal_target_cardinality,,0.0342976894053005,35,3.726757493266734,18.63378746633367,3.5214858292555937,25.882030788855996,2.3819469197511136e-05,2.2049498021105812e-05,0.04611919646748763,21.68294499027024
2021-04-30,2021-05-03,close,optimal_target_cardinality,,0.03685383285374232,35,4.115280226281544,20.576401131407717,5.230192728240446,29.92187408592971,2.6796127738547217e-05,4.649868544169891e-05,0.045038625147573196,22.203164433270512
2021-05-28,2021-06-01,close,optimal_target_cardinality,,0.04326466938267369,35,5.133782971074183,25.668914855370907,15.368575864338188,46.17127369078328,3.8910583140422626e-05,0.00018869707374641464,0.04396617647192494,22.744756998338495
2021-06-30,2021-07-01,close,optimal_target_cardinality,,0.04120481564827797,35,4.953207184401621,24.766035922008108,5.59436957054824,35.313612676957966,2.9376742099765998e-05,6.644784844686376e-05,0.043796850170219996,22.832692216755753
2021-07-30,2021-08-02,close,optimal_target_cardinality,,0.03557524090469695,35,4.221848861179205,21.10924430589603,6.816355023976514,32.14744819105175,2.7088918894848743e-05,7.255301091600213e-05,0.04376139823310015,22.851189412947555
2021-08-31,2021-09-01,close,optimal_target_cardinality,,0.028971638627341346,35,3.5811660723890237,17.905830361945114,5.109393844933531,26.59639027926767,2.1516483524838128e-05,4.277038602163419e-05,0.042915702989477535,23.30149409984474
2021-09-30,2021-10-01,close,optimal_target_cardinality,,0.025781765232715224,35,3.1732151848317436,15.866075924158716,3.866407511927721,22.905698620918184,1.8610441143693027e-05,5.225037771492534e-05,0.04203720854480366,23.78844920052649
2021-10-29,2021-11-01,close,optimal_target_cardinality,,0.04495338884190545,35,5.86971898828523,29.348594941426146,10.741438174348866,45.95975210406024,3.5198390443133876e-05,0.0001918972183845435,0.04181567159151909,23.914478996501792
2021-11-30,2021-12-01,close,optimal_target_cardinality,,0.06201343829051543,35,7.805876437497774,39.02938218748887,5.93546218390908,52.770720808895724,4.192346451588842e-05,2.3597337354156256e-05,0.04104654845962276,24.362584371343523
2021-12-31,2022-01-03,close,optimal_target_cardinality,,0.04661583749684041,35,6.473907396071425,32.36953698035714,4.634835013998125,43.47827939042669,3.1306848904515816e-05,1.866174886668399e-05,0.0402761452566764,24.8285925484449
2022-01-31,2022-02-01,close,optimal_target_cardinality,,0.03523529582852721,35,4.58021752008435,22.901087600421743,7.83276101094728,35.31406613145337,2.7166866237108716e-05,3.7781648840438087e-05,0.03990272730005667,25.060943641277866
2022-02-28,2022-03-01,close,optimal_target_cardinality,,0.03604970922619046,35,4.5808376719077115,22.90418835953857,6.675030205531094,34.160056236977375,2.6882858173415706e-05,8.838948795279912e-05,0.03944044613901061,25.354682765895447
2022-03-31,2022-04-01,close,optimal_target_cardinality,,0.02056268434071955,35,2.720921006701627,13.604605033508141,1.6452498094995334,17.9707758497093,1.3580967262381106e-05,1.3538230811309997e-05,0.03918754903753592,25.518309375310682
2022-04-29,2022-05-02,close,optimal_target_cardinality,,0.028312338326111675,35,3.403339618191186,17.01669809095593,3.969055871577522,24.38909358072464,2.0289255448789717e-05,0.00011319999282208252,0.03896187142150706,25.666118271926674
2022-05-31,2022-06-01,close,optimal_target_cardinality,,0.05040962930995252,35,5.9919957107531,29.9599785537655,14.180303740390654,50.13227800490925,4.2175423225951174e-05,5.2628432999082266e-05,0.03834969085369201,26.0758294979509
2022-06-30,2022-07-01,close,optimal_target_cardinality,,0.06426891569633479,35,6.902501950404315,34.51250975202158,18.037817713961644,59.45282941638754,5.5356288330299865e-05,0.00029191256332833983,0.03751248148725791,26.65779389560448
