factor,coefficient,annualized_coefficient,t_stat,p_value
alpha,0.0001087954287855868,0.02741644805396787,1.071717414480295,0.28384697655719227
Mkt-RF,1.0238384215445615,1.0238384215445615,93.26986556513866,0.0
SMB,0.0510376901095083,0.0510376901095083,2.506757690586466,0.012184420682830616
HML,0.09313363297240489,0.09313363297240489,5.444995048647718,5.180682669235553e-08
RMW,-0.09068227463640714,-0.09068227463640714,-3.5919904605279744,0.00032816186529614023
CMA,0.08771797799507107,0.08771797799507107,3.277394921115441,0.0010476971874482915
Mom,-0.025747607840202434,-0.025747607840202434,-2.376776188165812,0.01746468136471762
