fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07539588390236358,0.23666384824767242,0.09084549654803134
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.0765060064942938,0.2377618227558856,0.03247515070713684
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.07678508715960645,0.23885065299204336,0.03612085953871875
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.07927026359043571,0.24358441221571667,-0.04536075964970392
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.07926289540289265,0.2433781926278418,-0.024090572998693903
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.07705779391951907,0.2387772832875555,0.02681630973846257
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.07666137683664712,0.23774896575214433,0.015654124370856306
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.07846172267942211,0.24072172659789887,-0.02476829447080699
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.07708493230076399,0.23849706642483517,0.020321778385600984
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.07810723474746059,0.24127519324427077,0.07025335900934575
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.07805365785869291,0.2407032512344617,0.035470530130757655
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.07713607797989276,0.2392706693542773,0.017589156691729106
