date,bucket,contribution,average_weight,average_exposure,names,return_coverage
2024-09-03,high,-0.0011277671787457352,0.34839999771787167,1.1504987440818113,17,1.0
2024-09-03,low,-0.00957119781612933,0.4503999962867929,-0.6278786128859218,17,1.0
2024-09-03,middle,6.937899847518248e-05,0.201200005995333,0.3726369952133863,16,1.0
2024-09-04,high,7.024243816566984e-05,0.3481757656251972,1.1504987440818113,17,1.0
2024-09-04,low,0.00028199202938837477,0.4503001109894035,-0.6278786128859218,17,1.0
2024-09-04,middle,0.000489647003998897,0.20152412338539752,0.3726369952133863,16,1.0
2024-09-05,high,-0.004171247367499588,0.34606584330485674,1.1504987440818113,17,1.0
2024-09-05,low,-0.0009256335561380984,0.45218004350274893,-0.6278786128859218,17,1.0
2024-09-05,middle,-0.001031019704407525,0.20175411319239273,0.3726369952133863,16,1.0
2024-09-06,high,-0.0020273316516831417,0.3481209667037679,1.1504987440818113,17,1.0
2024-09-06,low,-0.006401926429761885,0.4510147607256385,-0.6278786128859218,17,1.0
2024-09-06,middle,-0.003206303989106744,0.20086427257059192,0.3726369952133863,16,1.0
2024-09-09,high,0.0026186561799398664,0.3485424526276853,1.1504987440818113,17,1.0
2024-09-09,low,0.00305196066367466,0.4512159580869079,-0.6278786128859218,17,1.0
2024-09-09,middle,0.0006679054436969021,0.20024158928540509,0.3726369952133863,16,1.0
2024-09-10,high,0.0004347995480998663,0.34698144034282397,1.1504987440818113,17,1.0
2024-09-10,low,0.005426980983050714,0.4533401439850154,-0.6278786128859218,17,1.0
2024-09-10,middle,0.0005710219958161367,0.199678415672159,0.3726369952133863,16,1.0
2024-09-11,high,-0.0005638658935992699,0.346017627740176,1.1504987440818113,17,1.0
2024-09-11,low,0.0010313529887864478,0.4536711366579845,-0.6278786128859218,17,1.0
2024-09-11,middle,0.0008601531101886259,0.20031123560183778,0.3726369952133863,16,1.0
2024-09-12,high,0.0008029164265919735,0.34443029855080076,1.1504987440818113,17,1.0
2024-09-12,low,0.0035543222943006424,0.45399723215000737,-0.6278786128859218,17,1.0
2024-09-12,middle,0.0027064983329765885,0.20157246929919045,0.3726369952133863,16,1.0
2024-09-13,high,0.0014897405467312586,0.3428765175889612,1.1504987440818113,17,1.0
2024-09-13,low,0.006226424454505334,0.4561020232358906,-0.6278786128859218,17,1.0
2024-09-13,middle,0.0012711046748697763,0.20102145917514685,0.3726369952133863,16,1.0
2024-09-16,high,0.00047845234836420384,0.3418951220598716,1.1504987440818113,17,1.0
2024-09-16,low,0.003578874813999208,0.4575838553577052,-0.6278786128859218,17,1.0
2024-09-16,middle,0.0003711502298873688,0.20052102258242152,0.3726369952133863,16,1.0
2024-09-17,high,-0.000586281865197486,0.34030166874695206,1.1504987440818113,17,1.0
2024-09-17,low,0.003911790160820127,0.4601197135464778,-0.6278786128859218,17,1.0
2024-09-17,middle,-0.00039379438010191315,0.19957861770656862,0.3726369952133863,16,1.0
2024-09-18,high,-0.0026069799648587282,0.34016010029654853,1.1504987440818113,17,1.0
2024-09-18,low,-0.003539093846302591,0.45986458329899255,-0.6278786128859218,17,1.0
2024-09-18,middle,-0.0010636459913256938,0.19997531640445715,0.3726369952133863,16,1.0
2024-09-19,high,0.004843293108544108,0.34103448390063923,1.1504987440818113,17,1.0
2024-09-19,low,0.006566891085367104,0.4613917960599497,-0.6278786128859218,17,1.0
2024-09-19,middle,-0.00030216899119132705,0.19757372003940948,0.3726369952133863,16,1.0
2024-09-20,high,-0.0006368849797998662,0.33954095647439414,1.1504987440818113,17,1.0
2024-09-20,low,0.004271010840382922,0.46427440334165687,-0.6278786128859218,17,1.0
2024-09-20,middle,-0.0007995524134979361,0.1961846401839474,0.3726369952133863,16,1.0
2024-09-23,high,0.0015476727084332907,0.3398085092794433,1.1504987440818113,17,1.0
2024-09-23,low,0.0015002490771790923,0.46401267179647027,-0.6278786128859218,17,1.0
2024-09-23,middle,0.000719306120110012,0.19617881892408498,0.3726369952133863,16,1.0
