bucket,total_contribution,average_weight,average_exposure,active_days,average_return_coverage
low,0.2861792037751456,0.3696678700403158,-0.8164340067331839,334,1.0
high,0.08694477645396408,0.34876488809217426,1.0805414110280906,334,1.0
middle,0.0279122664627486,0.28156704857999254,0.26707642356726385,334,1.0
