component,total_contribution,average_daily_contribution,daily_contribution_volatility,observations,annualized_average_contribution,share_of_excess_return
Mkt-RF,0.1461725996933093,0.00041059719014974525,0.008506146776795502,356,0.1034704919177358,0.6207939131114898
alpha,0.0953960123496644,0.0002679663268249,0.0,356,0.06752751435987481,0.4051461349530262
SMB,0.003548839172004461,9.968649359563093e-06,0.00020345014416542606,356,0.0025120996386098996,0.01507189282542965
HML,0.001291953473550117,3.6290827908711155e-06,0.0012566046917053299,356,0.0009145288632995211,0.005486916522562676
residual,-3.1504052838693397e-13,-8.849453044576797e-16,0.005088060652772848,356,-2.230062167233353e-13,-1.3379747149354977e-12
Mom,-0.003110015477727692,-8.735998532942954e-06,0.00018632981473062782,356,-0.0022014716303016247,-0.013208211951533386
RMW,-0.003128140628344925,-8.786911877373385e-06,0.0001448808269349743,356,-0.002214301793098093,-0.013285189327601235
CMA,-0.004710499682919646,-1.3231740682358557e-05,0.000384010094981364,356,-0.003334398651954356,-0.020005456132035734
