bucket,total_contribution,average_weight,average_exposure,active_days,average_return_coverage
high,0.24157328491770708,0.41274740249387043,1.4942798475744632,334,1.0
middle,0.1148912084055846,0.3184399424166205,0.13461531698601972,334,1.0
low,0.044571753368566655,0.26881246180199164,-0.4635472172308638,334,1.0
