window,observations,annualized_mean,daily_volatility,t_stat,p_value,positive_window_share,min_annualized_mean,max_annualized_mean,latest_annualized_mean
full,356,-2.2299086734426414e-13,0.005080909474744383,-3.4008130237129725e-12,0.9999999999972865,0.5112359550561798,,,
rolling_63,294,0.01119575636174272,,,,0.564625850340136,-0.2677920879608695,0.2767249068602107,-0.12874831444760923
rolling_126,231,0.021818605208497474,,,,0.7012987012987013,-0.15697957237882035,0.13976277411615443,-0.14498539436955094
