date,bucket,contribution,average_weight,average_exposure,names,return_coverage
2024-09-03,high,-0.0034730473241029003,0.4482000026494658,1.9120395571379167,17,1.0
2024-09-03,low,-0.002163518820945585,0.25079999850571255,-0.3466094931484868,17,1.0
2024-09-03,middle,-0.004993019851351399,0.3009999988448192,0.5737593784085725,16,1.0
2024-09-04,high,0.0005244748770070396,0.44836229150840085,1.9120395571379167,17,1.0
2024-09-04,low,0.0002817789780429013,0.2508533457144971,-0.3466094931484868,17,1.0
2024-09-04,middle,3.5627616503000644e-05,0.3007843627771003,0.5737593784085725,16,1.0
2024-09-05,high,-0.0027441051332492534,0.44835430301596213,1.9120395571379167,17,1.0
2024-09-05,low,-0.0020743119987893174,0.2503128619189532,-0.3466094931484868,17,1.0
2024-09-05,middle,-0.001309483496006641,0.30133283506508307,0.5737593784085725,16,1.0
2024-09-06,high,-0.004482214298074759,0.44910670325931856,1.9120395571379167,17,1.0
2024-09-06,low,-0.003184043301373819,0.25002681546951444,-0.3466094931484868,17,1.0
2024-09-06,middle,-0.003969304471103193,0.30086648127116533,0.5737593784085725,16,1.0
2024-09-09,high,0.0025866632812759235,0.4488853400123296,1.9120395571379167,17,1.0
2024-09-09,low,0.0009044158839872853,0.24935062576304493,-0.3466094931484868,17,1.0
2024-09-09,middle,0.0028474431220482195,0.3017640342246238,0.5737593784085725,16,1.0
2024-09-10,high,-0.0008042586196264738,0.4454639944857526,1.9120395571379167,17,1.0
2024-09-10,low,0.0003576993357152062,0.24827289297501856,-0.3466094931484868,17,1.0
2024-09-10,middle,0.006879361810877985,0.3062631125392272,0.5737593784085725,16,1.0
2024-09-11,high,-0.0005531519496802318,0.4442639508376061,1.9120395571379167,17,1.0
2024-09-11,low,-2.072259793575157e-06,0.247971014064848,-0.3466094931484868,17,1.0
2024-09-11,middle,0.0018828644148496108,0.30776503509754416,0.5737593784085725,16,1.0
2024-09-12,high,0.0009146173826751054,0.4420644359429378,1.9120395571379167,17,1.0
2024-09-12,low,0.0030983485287246577,0.24929417732405676,-0.3466094931484868,17,1.0
2024-09-12,middle,0.0030507711424694415,0.30864138673300395,0.5737593784085725,16,1.0
2024-09-13,high,0.005151739635306121,0.4432123668436676,1.9120395571379167,17,1.0
2024-09-13,low,0.00041512418161072923,0.24749748651930936,-0.3466094931484868,17,1.0
2024-09-13,middle,0.003420405859189519,0.3092901466370217,0.5737593784085725,16,1.0
2024-09-16,high,0.0019525667110187655,0.4432633168563037,1.9120395571379167,17,1.0
2024-09-16,low,7.279936808663658e-05,0.2465086236411414,-0.3466094931484868,17,1.0
2024-09-16,middle,0.002403111313145379,0.31022805950255317,0.5737593784085725,16,1.0
2024-09-17,high,0.0017719235250208837,0.44368568067822534,1.9120395571379167,17,1.0
2024-09-17,low,0.0005637964320333388,0.24637239262314908,-0.3466094931484868,17,1.0
2024-09-17,middle,0.0005959939584665057,0.309941926698624,0.5737593784085725,16,1.0
2024-09-18,high,-0.004643573829921053,0.4421955002477612,1.9120395571379167,17,1.0
2024-09-18,low,-0.00044392185853660976,0.24773988695831295,-0.3466094931484868,17,1.0
2024-09-18,middle,-0.0021222241140293504,0.31006461279392405,0.5737593784085725,16,1.0
2024-09-19,high,0.0019433703747539935,0.43932132477178143,1.9120395571379167,17,1.0
2024-09-19,low,0.0017701853741366894,0.24683654782886444,-0.3466094931484868,17,1.0
2024-09-19,middle,0.007394459453829202,0.3138421273993525,0.5737593784085725,16,1.0
2024-09-20,high,0.0005536073315139646,0.4387360130149831,1.9120395571379167,17,1.0
2024-09-20,low,-0.0010627026528242944,0.24507021145015512,-0.3466094931484868,17,1.0
2024-09-20,middle,0.003343668768395449,0.31619377553486017,0.5737593784085725,16,1.0
2024-09-23,high,0.0023533993808683117,0.43942730292660276,1.9120395571379167,17,1.0
2024-09-23,low,0.0005836128514413021,0.24473751991241394,-0.3466094931484868,17,1.0
2024-09-23,middle,0.0008302156734127814,0.3158351771609818,0.5737593784085725,16,1.0
2024-09-24,high,-7.633483785613907e-05,0.43853566125416926,1.9120395571379167,17,1.0
2024-09-24,low,0.001003785637156743,0.24531237167006875,-0.3466094931484868,17,1.0
2024-09-24,middle,0.0008780867489870459,0.31615196707576043,0.5737593784085725,16,1.0
2024-09-25,high,0.00040316706187838096,0.43958120106747406,1.9120395571379167,17,1.0
2024-09-25,low,-0.0014018018306403341,0.24426467625949946,-0.3466094931484868,17,1.0
2024-09-25,middle,-0.0004331925727682699,0.31615412267302506,0.5737593784085725,16,1.0
2024-09-26,high,0.006856316872331066,0.4423963355587421,1.9120395571379167,17,1.0
2024-09-26,low,-0.0001334554494811195,0.24193771067469969,-0.3466094931484868,17,1.0
2024-09-26,middle,0.002304748143642454,0.31566595376655665,0.5737593784085725,16,1.0
2024-09-27,high,-0.0006506416415000228,0.44201686246111016,1.9120395571379167,17,1.0
2024-09-27,low,0.0009317864572977995,0.24303842006069393,-0.3466094931484868,17,1.0
2024-09-27,middle,-0.0009209372431971398,0.3149447174781945,0.5737593784085725,16,1.0
2024-09-30,high,0.001490789569752457,0.49095672326536766,1.887529488987413,17,1.0
2024-09-30,low,0.00038412582970986513,0.293365957551504,-0.39541681999182227,17,1.0
2024-09-30,middle,0.000821104685544197,0.21567731918312638,0.4525595198844191,16,1.0
2024-10-01,high,-0.0020706383338758563,0.49308026643826425,1.887529488987413,17,1.0
2024-10-01,low,-0.0012675163489533421,0.30709896392357994,-0.39541681999182227,17,1.0
2024-10-01,middle,-4.6628249032261665e-05,0.1998207696381537,0.4525595198844191,16,1.0
2024-10-02,high,0.0006816632152869825,0.49277867452625823,1.887529488987413,17,1.0
2024-10-02,low,0.00016842285382616124,0.30666806541495606,-0.39541681999182227,17,1.0
2024-10-02,middle,0.0011254788419079057,0.20055326005878354,0.4525595198844191,16,1.0
2024-10-03,high,-0.0015104488595211114,0.49309517179068335,1.887529488987413,17,1.0
2024-10-03,low,-0.002627211657830463,0.3051443623937875,-0.39541681999182227,17,1.0
2024-10-03,middle,0.0004747811687089558,0.20176046581552667,0.4525595198844191,16,1.0
2024-10-04,high,0.0041575790654313485,0.49275035865493805,1.887529488987413,17,1.0
2024-10-04,low,0.0015666558594529196,0.303969373717936,-0.39541681999182227,17,1.0
2024-10-04,middle,0.0033775585238792457,0.2032802676271238,0.4525595198844191,16,1.0
2024-10-07,high,-0.0031500011318903363,0.4935722183655415,1.887529488987413,17,1.0
2024-10-07,low,-0.0035765006070663987,0.3027791024571292,-0.39541681999182227,17,1.0
2024-10-07,middle,-0.0012681611465155589,0.20364867917732707,0.4525595198844191,16,1.0
2024-10-08,high,0.002854809914323214,0.49265627079684526,1.887529488987413,17,1.0
2024-10-08,low,0.0030086290091590967,0.30341740006744533,-0.39541681999182227,17,1.0
2024-10-08,middle,0.0018625467664484102,0.20392632913570768,0.4525595198844191,16,1.0
2024-10-09,high,0.003808134607636963,0.49435465224171504,1.887529488987413,17,1.0
2024-10-09,low,0.0012292032316784016,0.30337557534190657,-0.39541681999182227,17,1.0
2024-10-09,middle,-0.0006407048213932296,0.2022697724163765,0.4525595198844191,16,1.0
2024-10-10,high,-0.0028997436986344374,0.494977697262283,1.887529488987413,17,1.0
2024-10-10,low,-0.002151341340600229,0.30336145814165855,-0.39541681999182227,17,1.0
2024-10-10,middle,-0.002038402764697481,0.201660844596056,0.4525595198844191,16,1.0
2024-10-11,high,0.0038975698544939127,0.4951554322585053,1.887529488987413,17,1.0
2024-10-11,low,0.0021629559074237883,0.30327672526196287,-0.39541681999182227,17,1.0
2024-10-11,middle,0.001418741563399766,0.20156784247952975,0.4525595198844191,16,1.0
2024-10-14,high,0.005766059798966669,0.4969231625606297,1.887529488987413,17,1.0
2024-10-14,low,0.0015024841777039764,0.302386612122329,-0.39541681999182227,17,1.0
2024-10-14,middle,0.0007110669119657782,0.2006902253170395,0.4525595198844191,16,1.0
2024-10-15,high,-0.0033135536899616125,0.4937466839458455,1.887529488987413,17,1.0
2024-10-15,low,0.003447254099356611,0.30624722863978154,-0.39541681999182227,17,1.0
2024-10-15,middle,-0.0010100202860381096,0.20000608741437062,0.4525595198844191,16,1.0
2024-10-16,high,0.005279341516895888,0.4950326702467429,1.887529488987413,17,1.0
2024-10-16,low,0.001227047329822421,0.3051402805900912,-0.39541681999182227,17,1.0
2024-10-16,middle,0.0013612187466809087,0.19982704916316368,0.4525595198844191,16,1.0
2024-10-17,high,-0.0001577855520866127,0.4953632739015418,1.887529488987413,17,1.0
