bucket,total_contribution,average_weight,average_exposure,active_days,average_return_coverage
low,0.2247106823123683,0.28303165976647765,-0.8637070409845716,334,1.0
high,0.09442975172744139,0.4595177962333481,0.9104477752340099,334,1.0
middle,0.08189581265204865,0.2574503507126569,0.255278885429301,334,1.0
