date,sector,portfolio_contribution,internal_cap_benchmark_contribution,active_contribution,portfolio_start_wealth,benchmark_start_wealth,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
2016-02-01,Communication Services,0.0,0.00021012511199261172,-0.00021012511199261172,1.0,1.0,0.0,0.00021012511199261172,-0.00021012511199261172
2016-02-01,Consumer Discretionary,0.0,0.0007174524460682988,-0.0007174524460682988,1.0,1.0,0.0,0.0007174524460682988,-0.0007174524460682988
2016-02-01,Consumer Staples,0.0,0.00018132305976746853,-0.00018132305976746853,1.0,1.0,0.0,0.00018132305976746853,-0.00018132305976746853
2016-02-01,Energy,0.0,-0.0011441767946987341,0.0011441767946987341,1.0,1.0,0.0,-0.0011441767946987341,0.0011441767946987341
2016-02-01,Financials,0.0,-0.0009569214948058162,0.0009569214948058162,1.0,1.0,0.0,-0.0009569214948058162,0.0009569214948058162
2016-02-01,Health Care,0.0,7.512179806186026e-05,-7.512179806186026e-05,1.0,1.0,0.0,7.512179806186026e-05,-7.512179806186026e-05
2016-02-01,Industrials,0.0,-0.0017349477249526779,0.0017349477249526779,1.0,1.0,0.0,-0.0017349477249526779,0.0017349477249526779
2016-02-01,Information Technology,0.0,-0.0003091040400187053,0.0003091040400187053,1.0,1.0,0.0,-0.0003091040400187053,0.0003091040400187053
2016-02-01,Materials,0.0,4.442502131793376e-05,-4.442502131793376e-05,1.0,1.0,0.0,4.442502131793376e-05,-4.442502131793376e-05
2016-02-01,Real Estate,0.0,5.616759107264383e-06,-5.616759107264383e-06,1.0,1.0,0.0,5.616759107264383e-06,-5.616759107264383e-06
2016-02-01,Transaction Costs,-0.0010347619503779945,0.0,-0.0010347619503779945,1.0,1.0,-0.0010347619503779945,0.0,-0.0010347619503779945
2016-02-01,Utilities,0.0,0.00031822281039990935,-0.00031822281039990935,1.0,1.0,0.0,0.00031822281039990935,-0.00031822281039990935
2016-02-02,Communication Services,0.0,-0.0005167876357880882,0.0005167876357880882,0.998965238049622,0.9974071369522394,0.0,-0.0005154476762237137,0.0005154476762237137
2016-02-02,Consumer Discretionary,-0.0034179476861404515,-0.0011734676151164743,-0.002244480071023977,0.998965238049622,0.9974071369522394,-0.0034144109239264506,-0.001170424974299495,-0.0022439859496269556
2016-02-02,Consumer Staples,-0.0020537989982186344,-0.0010305908431382266,-0.0010232081550804078,0.998965238049622,0.9974071369522394,-0.0020516738051615533,-0.001027918662223693,-0.0010237551429378602
2016-02-02,Energy,-0.0031055776591665876,-0.0019716828527655606,-0.001133894806401027,0.998965238049622,0.9974071369522394,-0.003102364125570938,-0.0019665705491547216,-0.0011357935764162164
2016-02-02,Financials,-0.002166559892202865,-0.004457308024268621,0.002290748132065756,0.998965238049622,0.9974071369522394,-0.0021643180184631986,-0.004445750835000008,0.00228143281653681
2016-02-02,Health Care,-0.0008338835415684109,-0.002299222748010763,0.0014653392064423523,0.998965238049622,0.9974071369522394,-0.0008330206706085494,-0.0022932611783088755,0.001460240507700326
2016-02-02,Industrials,-0.0017682769325176987,-0.0037407496835716683,0.0019724727510539693,0.998965238049622,0.9974071369522394,-0.0017664471868301982,-0.003731050431946213,0.001964603245116015
2016-02-02,Information Technology,-0.006940895880738327,-0.0042503404813911605,-0.0026905553993471663,0.998965238049622,0.9974071369522394,-0.006933713705779403,-0.0042393199306165604,-0.0026943937751628426
2016-02-02,Materials,-0.0023628945171007445,-0.00038864335211581246,-0.001974251164984932,0.998965238049622,0.9974071369522394,-0.002360449483761692,-0.00038763565312935355,-0.0019728138306323384
2016-02-02,Real Estate,2.2576118150207543e-10,-0.0002761375241474527,0.0002761377499086342,0.998965238049622,0.9974071369522394,2.2552757242158469e-10,-0.00027542153736499064,0.00027542176289256306
