fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.08344067072363341,0.2500644802129722,0.023350512588782547
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.08322364107783474,0.249802188403136,0.031566658077596
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.08336829075295492,0.2500586159293635,0.01563812455931332
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.08339813694037183,0.2500217519906944,0.012089672872473851
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.08326736468406921,0.24976890143785221,0.03423390145555383
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.08340316745631386,0.25020317845645756,0.020968211697921273
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.08338437903230697,0.25003596174141024,0.0038811670921920748
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.08345593291389267,0.2500721157883236,-0.00677733803345632
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.08336542867272576,0.24983852472163784,-0.006938697775851014
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.08326185690972884,0.2498042853767155,-0.008475713742759317
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.08342834551180317,0.250314183666181,0.009733352511145996
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.08360673460651717,0.250175921006004,-0.049254494290433805
13,lightgbm,2019-01-31,2023-12-29,2024-01-31,2024-03-28,26172,1402,467,0.08327049348284639,0.24995664558029673,0.026485158280438913
14,lightgbm,2019-04-30,2024-03-28,2024-04-30,2024-06-28,26324,1402,468,0.08326969472006156,0.24981998578409761,0.04820421060373078
15,lightgbm,2019-07-31,2024-06-28,2024-07-31,2024-09-30,26477,1408,468,0.08320749293183625,0.2498239168304233,0.03344067929010603
16,lightgbm,2019-10-31,2024-09-30,2024-10-31,2024-12-31,26624,1410,469,0.08334697778363263,0.2500306846647739,0.028593493485422984
17,lightgbm,2020-01-31,2024-12-31,2025-01-31,2025-03-31,26752,1418,472,0.08343689888199582,0.2501155569521044,-0.0018534258624561158
18,lightgbm,2020-04-30,2025-03-31,2025-04-30,2025-06-30,26886,1420,473,0.08326724450167253,0.2499329089809067,0.03804316760087085
19,lightgbm,2020-07-31,2025-06-30,2025-07-31,2025-09-30,27008,1423,474,0.08307391552349735,0.249783415898423,0.05817603803904762
20,lightgbm,2020-10-30,2025-09-30,2025-10-31,2025-12-31,27127,1423,474,0.08323289955669824,0.24987820231643454,0.04590821283815661
21,lightgbm,2021-01-29,2025-12-31,2026-01-30,2026-03-31,27239,1429,475,0.08316079761621308,0.24939112820764064,0.04153787846631906
22,lightgbm,2021-04-30,2026-03-31,2026-04-30,2026-04-30,27342,478,477,0.08319834495853203,0.2498611556112964,0.05868173761987806
