date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2025-01-02,0.0,0.0,-0.0022238866412221947,0.0022238866412221947,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997776.1133587778,-0.0024570434717930967,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.01259602672149196,-0.01259602672149196,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1010344.1279447114,0.012503365361905328,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.005538045085450305,-0.005538045085450305,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015939.4592770892,0.005760456878321607,0.0,0.0,0.0
2025-01-07,0.0,0.0,-0.01110391288210788,0.01110391288210788,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1004658.5560277805,-0.011304016546816231,0.0,0.0,0.0
2025-01-08,0.0,0.0,0.001560360190925314,-0.001560360190925314,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1006226.1852440789,0.0014610443232185855,0.0,0.0,0.0
2025-01-10,0.0,0.0,-0.01541164380306681,0.01541164380306681,1000000.0,0.0,0.0,1000000.0,0,0,0.0,990718.5856917785,-0.015267481874933542,0.0,0.0,0.0
2025-01-13,0.0,0.0,0.0015754440882007614,-0.0015754440882007614,1000000.0,0.0,0.0,1000000.0,0,0,0.0,992279.4074306771,0.001550440518178986,0.0,0.0,0.0
2025-01-14,0.0,0.0,0.0011462798112440442,-0.0011462798112440442,1000000.0,0.0,0.0,1000000.0,0,0,0.0,993416.837282528,0.0013760358876975243,0.0,0.0,0.0
2025-01-15,0.0,0.0,0.018312792279639112,-0.018312792279639112,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1011609.073470779,0.018189978739041157,0.0,0.0,0.0
2025-01-16,0.0,0.0,-0.0021126894641922966,0.0021126894641922966,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1009471.857639376,-0.0019231741492636845,0.0,0.0,0.0
2025-01-17,0.0,0.0,0.009991058969353706,-0.009991058969353706,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1019557.5504969541,0.010039953635990084,0.0,0.0,0.0
