sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Consumer Discretionary,0.06911703389094345,0.002693340692400882,0.06642369319854258
Materials,0.012549073105478729,0.0008317695397713184,0.01171730356570741
Financials,0.020032809890021663,0.009717752721607565,0.010315057168414098
Energy,0.002777825010816418,0.0020933813984696367,0.0006844436123467811
Health Care,0.00924886020271154,0.00873325221285013,0.0005156079898614076
Real Estate,0.0,0.00019532127119406567,-0.00019532127119406567
Transaction Costs,-0.006325442676203936,0.0,-0.006325442676203936
Consumer Staples,-0.004529706955724944,0.002468394472430351,-0.006998101428155295
Utilities,-0.008032325412957626,0.0030793821265511327,-0.011111707539508757
Information Technology,0.0731162932300692,0.0895884551168369,-0.01647216188676772
Industrials,-0.02748600984386005,0.012182581565605186,-0.039668591409465236
Communication Services,-0.001330287983609472,0.05002057982086529,-0.05135086780447476
