factor_name,quantile,forward_return
accruals,1,0.010099618406182806
accruals,2,0.012289524924613974
accruals,3,0.007035447044401537
accruals,4,0.005252468182859533
accruals,5,0.011921801428819226
beta_to_spy,1,0.02210054495115397
beta_to_spy,2,0.011505865531123705
beta_to_spy,3,0.00781956332067686
beta_to_spy,4,0.0027450005674236008
beta_to_spy,5,0.0022495822187974727
book_to_market,1,0.0009559566202030001
book_to_market,2,0.007628895208729248
book_to_market,3,0.010343371578832328
book_to_market,4,0.011588025597247217
book_to_market,5,0.015884477915941803
earnings_yield,1,0.005120254485453012
earnings_yield,2,0.005063004984018025
earnings_yield,3,0.011538536183046238
earnings_yield,4,0.011249510267311977
earnings_yield,5,0.013315970001265526
free_cash_flow_yield,1,0.009191511554721173
free_cash_flow_yield,2,0.008196040594315623
free_cash_flow_yield,3,0.007146667932685344
free_cash_flow_yield,4,0.011842372808411161
free_cash_flow_yield,5,0.010401439469419066
max_drawdown_252d,1,0.000771271049785286
max_drawdown_252d,2,0.0021809372639004848
max_drawdown_252d,3,0.007701052185677071
max_drawdown_252d,4,0.012841508456581427
max_drawdown_252d,5,0.02289032657213953
momentum_12_1,1,0.012759967519658804
momentum_12_1,2,0.009383646269444981
momentum_12_1,3,0.00762094333985557
momentum_12_1,4,0.005933866227288254
momentum_12_1,5,0.01067871929390435
momentum_3m,1,0.004190155063423919
momentum_3m,2,0.006402779156019345
momentum_3m,3,0.009194663349511396
momentum_3m,4,0.01336267287435971
momentum_3m,5,0.013295960751975568
momentum_6m,1,0.007123429371833242
momentum_6m,2,0.010402945942105868
momentum_6m,3,0.006393224339039465
momentum_6m,4,0.0076450916804961765
momentum_6m,5,0.01484791813913406
realized_vol_252d,1,0.020151997412969937
realized_vol_252d,2,0.013958403761623358
realized_vol_252d,3,0.00829701618596817
realized_vol_252d,4,0.0016931622370925956
realized_vol_252d,5,0.0023420423115399023
realized_vol_60d,1,0.023695096481278877
realized_vol_60d,2,0.011579389214531602
realized_vol_60d,3,0.004841659876097733
realized_vol_60d,4,0.0017617199990273772
realized_vol_60d,5,0.004543217731060951
roe,1,0.013790815242412803
roe,2,0.013109933525533904
roe,3,0.005788853835285088
roe,4,0.006945412555332022
roe,5,0.006642226286293583
sales_yield,1,0.0019324894682196973
sales_yield,2,0.004231683805848393
sales_yield,3,0.011191263329328514
sales_yield,4,0.011573952830559139
sales_yield,5,0.01763507282824021
