month,portfolio_return,benchmark_return
2025-01,0.0,0.027016304240443434
2025-02,-0.028165377016579174,-0.01424209269982446
2025-03,-0.04811715377462511,-0.05754469768137538
2025-04,0.0014561686708454147,-0.007624943346289492
2025-05,0.020117928781038907,0.061523826140782445
2025-06,0.035646269906785655,0.04960683946771627
2025-07,0.01802875054051767,0.021666562530641142
2025-08,0.027117527408923703,0.019066444295036122
2025-09,0.05314703287145561,0.03532368721870216
2025-10,0.005780436803839661,0.022686871904923578
2025-11,0.01670631045209836,0.0012996181666717899
2025-12,0.033567515710489104,-0.0005241344225136446
